benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	count
js	66	206	1349271443683	13832192	2629016	6131200	0.8.11	3.11.10.22	50000000
js	67	206	1349271443889	13897728	2637104	6131200	0.8.11	3.11.10.22	50000000
js	68	203	1349271444093	13897728	2639536	6131200	0.8.11	3.11.10.22	50000000
js	69	206	1349271444299	13901824	2642032	6131200	0.8.11	3.11.10.22	50000000
js	70	203	1349271444502	13910016	2644464	6131200	0.8.11	3.11.10.22	50000000
js	71	207	1349271444709	13910016	2646928	6131200	0.8.11	3.11.10.22	50000000
js	72	205	1349271444914	13914112	2649592	6131200	0.8.11	3.11.10.22	50000000
js	73	205	1349271445119	13914112	2652056	6131200	0.8.11	3.11.10.22	50000000
js	74	205	1349271445324	13918208	2654456	6131200	0.8.11	3.11.10.22	50000000
js	75	206	1349271445531	13922304	2656952	6131200	0.8.11	3.11.10.22	50000000
js	76	206	1349271445737	13922304	2659416	6131200	0.8.11	3.11.10.22	50000000
js	77	205	1349271445942	13926400	2661816	6131200	0.8.11	3.11.10.22	50000000
js	78	205	1349271446147	13926400	2664344	6131200	0.8.11	3.11.10.22	50000000
js	79	205	1349271446352	13930496	2666744	6131200	0.8.11	3.11.10.22	50000000
js	80	208	1349271446560	13930496	2669176	6131200	0.8.11	3.11.10.22	50000000
js	81	204	1349271446764	13934592	2672920	6131200	0.8.11	3.11.10.22	50000000
js	82	204	1349271446968	13938688	2675384	6131200	0.8.11	3.11.10.22	50000000
js	83	205	1349271447173	13938688	2677816	6131200	0.8.11	3.11.10.22	50000000
js	84	203	1349271447376	13942784	2680312	6131200	0.8.11	3.11.10.22	50000000
js	85	206	1349271447582	13946880	2682776	6131200	0.8.11	3.11.10.22	50000000
js	86	205	1349271447787	13946880	2685240	6131200	0.8.11	3.11.10.22	50000000
js	87	203	1349271447990	13950976	2687736	6131200	0.8.11	3.11.10.22	50000000
js	88	204	1349271448194	13950976	2690200	6131200	0.8.11	3.11.10.22	50000000
js	89	204	1349271448398	13955072	2692632	6131200	0.8.11	3.11.10.22	50000000
js	90	203	1349271448601	13959168	2695296	6131200	0.8.11	3.11.10.22	50000000
js	91	206	1349271448807	13959168	2697760	6131200	0.8.11	3.11.10.22	50000000
js	92	203	1349271449010	13963264	2700224	6131200	0.8.11	3.11.10.22	50000000
js	93	204	1349271449214	13963264	2702720	6131200	0.8.11	3.11.10.22	50000000
js	94	204	1349271449418	13967360	2705152	6131200	0.8.11	3.11.10.22	50000000
js	95	205	1349271449624	13971456	2709328	6131200	0.8.11	3.11.10.22	50000000
js	96	205	1349271449829	13979648	2713688	6131200	0.8.11	3.11.10.22	50000000
js	97	205	1349271450034	13979648	2716360	6131200	0.8.11	3.11.10.22	50000000
js	98	204	1349271450238	13983744	2718760	6131200	0.8.11	3.11.10.22	50000000
js	99	206	1349271450444	13983744	2721256	6131200	0.8.11	3.11.10.22	50000000
js	100	204	1349271450649	13987840	2723688	6131200	0.8.11	3.11.10.22	50000000
js	101	201	1349271450850	13987840	2726152	6131200	0.8.11	3.11.10.22	50000000
js	102	201	1349271451052	13991936	2728648	6131200	0.8.11	3.11.10.22	50000000
js	103	204	1349271451256	13996032	2731080	6131200	0.8.11	3.11.10.22	50000000
js	104	202	1349271451458	13996032	2733544	6131200	0.8.11	3.11.10.22	50000000
js	105	202	1349271451661	14000128	2736040	6131200	0.8.11	3.11.10.22	50000000
js	106	204	1349271451865	14000128	2738472	6131200	0.8.11	3.11.10.22	50000000
js	107	215	1349271452080	14004224	2740904	6131200	0.8.11	3.11.10.22	50000000
js	108	204	1349271452284	14008320	2743600	6131200	0.8.11	3.11.10.22	50000000
js	109	205	1349271452489	14008320	2746032	6131200	0.8.11	3.11.10.22	50000000
js	110	207	1349271452696	14012416	2748464	6131200	0.8.11	3.11.10.22	50000000
js	111	204	1349271452900	14012416	2750992	6131200	0.8.11	3.11.10.22	50000000
js	112	203	1349271453103	14016512	2753424	6131200	0.8.11	3.11.10.22	50000000
js	113	203	1349271453306	14020608	2755888	6131200	0.8.11	3.11.10.22	50000000
js	114	204	1349271453510	14020608	2758416	6131200	0.8.11	3.11.10.22	50000000
js	115	202	1349271453712	14024704	2760816	6131200	0.8.11	3.11.10.22	50000000
