benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	rows	bytes
mysql-2.0.0-alpha3	48	817	1349273678059	98054144	6361784	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	49	806	1349273678865	98091008	16561304	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	50	809	1349273679675	98103296	10224880	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	51	812	1349273680487	98103296	3921136	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	52	810	1349273681297	98103296	14105200	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	53	817	1349273682114	98107392	7770256	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	54	804	1349273682918	98107392	17925968	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	55	818	1349273683736	98107392	11613984	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	56	810	1349273684546	98107392	5276848	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	57	805	1349273685351	98107392	15445696	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	58	818	1349273686169	98107392	9117304	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	59	806	1349273686975	98144256	19311016	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	60	819	1349273687795	98144256	12972640	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	61	814	1349273688609	98148352	6639560	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	62	803	1349273689412	98148352	16813760	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	63	810	1349273690222	98148352	10486848	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	64	810	1349273691032	98148352	4156968	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	65	805	1349273691837	98148352	14349280	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	66	814	1349273692651	98148352	8013408	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	67	806	1349273693457	98148352	18207368	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	68	809	1349273694266	98152448	11871328	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	69	819	1349273695085	98152448	5544392	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	70	804	1349273695889	98156544	15717440	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	71	822	1349273696711	98164736	9416552	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	72	810	1349273697521	98242560	19580840	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	73	820	1349273698342	106958848	13250992	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	74	813	1349273699155	106958848	6914376	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	75	809	1349273699964	106958848	17100392	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	76	820	1349273700784	106958848	10784000	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	77	818	1349273701602	106958848	4477736	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	78	807	1349273702409	106958848	14663368	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	79	818	1349273703227	106958848	8327016	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	80	809	1349273704036	106958848	18507720	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	81	813	1349273704849	106958848	12193736	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	82	818	1349273705668	106958848	5863656	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	83	816	1349273706484	106958848	16049280	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	84	816	1349273707300	106958848	9718520	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	85	803	1349273708103	106958848	19935488	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	86	809	1349273708912	106958848	13596992	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	87	810	1349273709722	106958848	7271528	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	88	803	1349273710526	106958848	17440488	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	89	819	1349273711345	106958848	11114496	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	90	817	1349273712162	110592000	4793944	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	91	805	1349273712967	110596096	15001152	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	92	811	1349273713778	110596096	8664824	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	93	802	1349273714581	110596096	18848120	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	94	811	1349273715392	110596096	12518504	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	95	819	1349273716211	110596096	6197272	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	96	803	1349273717015	110604288	16371856	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	97	812	1349273717827	110604288	10054136	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	98	801	1349273718628	110608384	20217440	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	99	817	1349273719445	110608384	13893544	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	100	813	1349273720258	110608384	7579336	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	101	811	1349273721070	110608384	17743528	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	102	812	1349273721882	110608384	11418976	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	103	819	1349273722701	110608384	5098152	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	104	802	1349273723503	110608384	15261712	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	105	817	1349273724320	110608384	8951824	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	106	811	1349273725132	110608384	19142416	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	107	809	1349273725942	110608384	12823800	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	108	810	1349273726752	110608384	6507888	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	109	804	1349273727556	110608384	16693976	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	110	818	1349273728374	110608384	10351240	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	111	811	1349273729185	110608384	4024432	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	112	813	1349273729998	110608384	14195256	40672256	0.8.11	3.11.10.22	100000	180822241
mysql-2.0.0-alpha3	113	813	1349273730811	110608384	7877936	40672256	0.8.11	3.11.10.22	100000	180822241
