423729	Sun Sep 16 2012 13:04:26 GMT+0200 (CEST)	poc
427350	Sun Sep 16 2012 13:04:26 GMT+0200 (CEST)	poc
425532	Sun Sep 16 2012 13:04:26 GMT+0200 (CEST)	poc
423729	Sun Sep 16 2012 13:04:26 GMT+0200 (CEST)	poc
425532	Sun Sep 16 2012 13:04:27 GMT+0200 (CEST)	poc
421941	Sun Sep 16 2012 13:04:27 GMT+0200 (CEST)	poc
421941	Sun Sep 16 2012 13:04:27 GMT+0200 (CEST)	poc
425532	Sun Sep 16 2012 13:04:27 GMT+0200 (CEST)	poc
423729	Sun Sep 16 2012 13:04:28 GMT+0200 (CEST)	poc
429185	Sun Sep 16 2012 13:04:28 GMT+0200 (CEST)	poc
427350	Sun Sep 16 2012 13:04:28 GMT+0200 (CEST)	poc
427350	Sun Sep 16 2012 13:04:28 GMT+0200 (CEST)	poc
423729	Sun Sep 16 2012 13:04:28 GMT+0200 (CEST)	poc
427350	Sun Sep 16 2012 13:04:29 GMT+0200 (CEST)	poc
427350	Sun Sep 16 2012 13:04:29 GMT+0200 (CEST)	poc
427350	Sun Sep 16 2012 13:04:29 GMT+0200 (CEST)	poc
425532	Sun Sep 16 2012 13:04:29 GMT+0200 (CEST)	poc
421941	Sun Sep 16 2012 13:04:30 GMT+0200 (CEST)	poc
431034	Sun Sep 16 2012 13:04:30 GMT+0200 (CEST)	poc
427350	Sun Sep 16 2012 13:04:30 GMT+0200 (CEST)	poc
427350	Sun Sep 16 2012 13:04:30 GMT+0200 (CEST)	poc
421941	Sun Sep 16 2012 13:04:31 GMT+0200 (CEST)	poc
429185	Sun Sep 16 2012 13:04:31 GMT+0200 (CEST)	poc
427350	Sun Sep 16 2012 13:04:31 GMT+0200 (CEST)	poc
427350	Sun Sep 16 2012 13:04:31 GMT+0200 (CEST)	poc
425532	Sun Sep 16 2012 13:04:32 GMT+0200 (CEST)	poc
427350	Sun Sep 16 2012 13:04:32 GMT+0200 (CEST)	poc
427350	Sun Sep 16 2012 13:04:32 GMT+0200 (CEST)	poc
429185	Sun Sep 16 2012 13:04:32 GMT+0200 (CEST)	poc
416667	Sun Sep 16 2012 13:04:32 GMT+0200 (CEST)	poc
