shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff84d43240,0x7fff84d54156
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff8dd66dc0,0x7fff8dd704a1
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff89d083f0,0x7fff89d10bd9
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff83c7e7d4,0x7fff83c7f62d
shared-library,"/usr/lib/system/libunc.dylib",0x7fff8b2515f1,0x7fff8b252950
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff826a6b84,0x7fff826ab606
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff84922960,0x7fff84937d06
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff848a5c20,0x7fff848d8517
shared-library,"/usr/lib/libauto.dylib",0x7fff8770b350,0x7fff87749750
shared-library,"/usr/lib/libc++abi.dylib",0x7fff88f9d7dc,0x7fff88fb2648
shared-library,"/usr/lib/libc++.1.dylib",0x7fff884815a0,0x7fff884c2fd0
shared-library,"/usr/lib/system/libkxld.dylib",0x7fff826fc06c,0x7fff82705fc4
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff8918f108,0x7fff8918f8fc
shared-library,"/System/Library/Frameworks/CFNetwork.framework/Versions/A/CFNetwork",0x7fff89462fb0,0x7fff8957e85d
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/CarbonCore",0x7fff8cd9fdf0,0x7fff8ce80751
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Metadata",0x7fff8aa5c7b0,0x7fff8aab90cb
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/OSServices.framework/Versions/A/OSServices",0x7fff84b70ab0,0x7fff84be4717
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/SearchKit.framework/Versions/A/SearchKit",0x7fff8406aad8,0x7fff840bedcc
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/AE.framework/Versions/A/AE",0x7fff899af7f0,0x7fff899f823f
