benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	rows	bytes
mariadb-0.1.7	53	373	1349277218396	18829312	5127944	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	54	366	1349277218762	18837504	4996824	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	55	364	1349277219126	18837504	4859192	9260288	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	56	371	1349277219497	23035904	4721752	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	57	371	1349277219868	23035904	6658656	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	58	374	1349277220243	23044096	4459664	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	59	370	1349277220613	23048192	6374176	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	60	368	1349277220981	23052288	4174400	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	61	377	1349277221358	23052288	6092280	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	62	423	1349277221781	23060480	3878160	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	63	396	1349277222177	23060480	5812552	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	64	415	1349277222592	23064576	3609816	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	65	387	1349277222979	23064576	5532608	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	66	365	1349277223345	23072768	3319416	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	67	364	1349277223709	23076864	5238992	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	68	366	1349277224075	23080960	7163120	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	69	366	1349277224442	23085056	4964992	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	70	366	1349277224808	23089152	6902920	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	71	368	1349277225176	23089152	4703168	13454592	0.8.11	3.11.10.22	100000	0
mariadb-0.1.7	72	367	1349277225543	23093248	6613776	13454592	0.8.11	3.11.10.22	100000	0
