benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	bytes	rows
new-parser	58	219	1349613807015	235335680	9086304	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	59	218	1349613807233	235479040	7651720	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	60	219	1349613807452	235483136	6203640	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	61	220	1349613807672	235487232	4775160	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	62	218	1349613807890	235491328	3346224	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	63	218	1349613808109	235499520	10171512	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	64	218	1349613808327	235704320	8739504	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	65	219	1349613808546	235974656	7315840	20811264	0.8.11	3.11.10.22	180821863	100000
new-parser	66	244	1349613808790	261423104	5662312	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	67	242	1349613809032	261431296	12468952	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	68	241	1349613809273	261709824	19284040	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	69	243	1349613809516	261709824	9601184	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	70	241	1349613809757	261709824	16416400	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	71	242	1349613810000	261709824	6722816	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	72	241	1349613810241	261709824	13518704	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	73	243	1349613810484	261709824	3838712	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	74	244	1349613810728	278482944	10649440	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	75	241	1349613810969	278523904	17464568	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	76	243	1349613811212	278523904	7771024	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	77	242	1349613811454	278523904	14573160	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	78	242	1349613811696	278523904	4885672	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	79	240	1349613811937	278523904	11695568	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	80	241	1349613812178	278523904	18505760	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	81	242	1349613812420	278523904	8833840	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	82	241	1349613812661	278523904	15645544	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	83	241	1349613812902	278528000	5959992	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	84	239	1349613813142	278528000	12758416	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	85	242	1349613813384	278528000	3084816	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	86	241	1349613813625	278528000	9894672	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	87	240	1349613813865	278528000	16702072	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	88	241	1349613814106	278528000	7028200	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	89	240	1349613814346	278528000	13835440	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	90	242	1349613814588	278528000	4152168	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	91	239	1349613814827	278528000	10955536	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	92	240	1349613815070	278560768	9616456	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	93	240	1349613815310	278560768	16422520	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	94	241	1349613815551	278560768	6744928	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	95	239	1349613815792	278560768	9554912	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	96	239	1349613816031	278560768	16378928	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	97	242	1349613816273	278560768	6710944	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	98	240	1349613816515	278560768	9496280	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	99	239	1349613816754	278560768	16320272	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	100	241	1349613816995	278560768	6652216	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	101	239	1349613817234	278560768	13465328	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	102	241	1349613817475	278560768	3784336	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	103	241	1349613817716	278560768	10562536	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	104	240	1349613817959	278560768	9508304	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	105	239	1349613818198	278560768	16331048	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	106	243	1349613818441	278560768	6662128	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	107	242	1349613818685	278560768	9502120	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	108	238	1349613818923	278560768	16325016	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	109	241	1349613819165	278560768	6656136	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	110	241	1349613819409	278560768	9501872	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	111	241	1349613819650	278560768	16324664	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	112	241	1349613819891	278560768	6655680	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	113	241	1349613820135	278560768	9501760	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	114	241	1349613820376	278560768	16324544	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	115	243	1349613820619	278560768	6655584	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	116	242	1349613820864	278560768	9502432	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	117	240	1349613821104	278560768	16325168	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	118	242	1349613821346	278560768	6656224	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	119	241	1349613821589	278560768	9480864	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	120	240	1349613821829	278560768	16304768	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	121	241	1349613822070	278560768	6636704	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	122	240	1349613822313	278560768	9481656	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	123	240	1349613822553	278560768	16305448	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	124	240	1349613822793	278560768	6637520	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	125	239	1349613823032	278560768	13450624	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	126	240	1349613823273	278560768	3773016	37588480	0.8.11	3.11.10.22	180821863	100000
new-parser	127	242	1349613823515	278560768	10551232	37588480	0.8.11	3.11.10.22	180821863	100000
