benchmark	number	duration	time	rss	heapUsed	heapTotal	nodeVersion	v8Version	bytes	rows
mysql2	58	454	1349613587921	223043584	5621176	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	59	454	1349613588378	223043584	6505520	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	60	457	1349613588835	224468992	10167200	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	61	453	1349613589288	224468992	5560600	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	62	455	1349613589743	224468992	9193696	20811264	0.8.11	3.11.10.22	180821863	100000
mysql2	63	455	1349613590198	226754560	12825128	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	64	502	1349613590700	255234048	8190000	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	65	484	1349613591187	260366336	14752712	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	66	484	1349613591672	260366336	10152464	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	67	484	1349613592156	268382208	5547336	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	68	481	1349613592639	268390400	14752328	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	69	480	1349613593120	268390400	10151640	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	70	484	1349613593604	268390400	5540080	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	71	480	1349613594087	268390400	14753056	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	72	481	1349613594568	268390400	10152512	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	73	481	1349613595049	268390400	5540912	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	74	481	1349613595532	268390400	14752768	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	75	481	1349613596013	268390400	10151992	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	76	482	1349613596495	268390400	5540456	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	77	479	1349613596976	268390400	14753104	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	78	481	1349613597459	268390400	10152424	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	79	482	1349613597941	268390400	5540864	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	80	480	1349613598424	268390400	14753104	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	81	481	1349613598905	268390400	10153368	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	82	482	1349613599387	268390400	5542816	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	83	480	1349613599869	268390400	14753896	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	84	482	1349613600351	268390400	10154040	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	85	481	1349613600832	268390400	5543544	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	86	475	1349613601307	268390400	17425216	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	87	476	1349613601784	268390400	12805120	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	88	475	1349613602259	268390400	8195168	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	89	482	1349613602744	268390400	14757664	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	90	484	1349613603228	268390400	10157080	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	91	483	1349613603711	268390400	5549376	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	92	480	1349613604193	268390400	14754464	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	93	483	1349613604676	268390400	10153632	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	94	479	1349613605155	268390400	5542032	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	95	481	1349613605639	268390400	14754424	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	96	481	1349613606121	268390400	10153856	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	97	481	1349613606602	268390400	5542328	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	98	480	1349613607085	268390400	14754224	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	99	484	1349613607569	268390400	10153472	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	100	494	1349613608063	279031808	5541928	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	101	482	1349613608547	279052288	14754816	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	102	481	1349613609029	279052288	10154200	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	103	480	1349613609509	279052288	5542760	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	104	480	1349613609991	279052288	14755464	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	105	481	1349613610472	279052288	10155688	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	106	482	1349613610954	279052288	5545160	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	107	478	1349613611434	279052288	14755592	37588480	0.8.11	3.11.10.22	180821863	100000
mysql2	108	480	1349613611914	279052288	10156112	37588480	0.8.11	3.11.10.22	180821863	100000
