hz	time	lib	rss	heapUsed	heapTotal
403226	1348709190966	poc	279035904	9516056	37588480
408163	1348709191211	poc	279072768	16337152	37588480
406504	1348709191457	poc	279076864	6667760	37588480
408163	1348709191704	poc	279080960	9515680	37588480
406504	1348709191950	poc	279085056	16336776	37588480
408163	1348709192195	poc	279089152	6667392	37588480
409836	1348709192439	poc	279093248	13480544	37588480
408163	1348709192684	poc	279093248	3799064	37588480
408163	1348709192929	poc	279097344	10580216	37588480
408163	1348709193178	poc	279101440	9521496	37588480
409836	1348709193422	poc	279105536	16342752	37588480
406504	1348709193668	poc	279109632	6673440	37588480
404858	1348709193917	poc	279113728	9515488	37588480
408163	1348709194162	poc	279117824	16336800	37588480
408163	1348709194407	poc	279121920	6667424	37588480
408163	1348709194654	poc	279126016	9516048	37588480
408163	1348709194899	poc	279130112	16338528	37588480
408163	1348709195145	poc	279146496	6709024	37588480
408163	1348709195392	poc	279150592	9546808	37588480
409836	1348709195636	poc	279150592	16367912	37588480
404858	1348709195883	poc	279166976	6711264	37588480
404858	1348709196133	poc	279166976	9558968	37588480
409836	1348709196377	poc	279166976	16380072	37588480
406504	1348709196623	poc	279166976	6716416	37588480
406504	1348709196871	poc	279166976	9562728	37588480
404858	1348709197118	poc	279166976	16383880	37588480
406504	1348709197364	poc	279166976	6714488	37588480
408163	1348709197611	poc	279166976	9563112	37588480
409836	1348709197855	poc	279166976	16384368	37588480
403226	1348709198103	poc	279166976	6717712	37588480
400000	1348709198353	poc	279166976	13530456	37588480
408163	1348709198599	poc	279166976	3848960	37588480
411523	1348709198843	poc	279166976	10630224	37588480
404858	1348709199093	poc	279166976	9570784	37588480
409836	1348709199337	poc	279166976	16391880	37588480
406504	1348709199583	poc	279166976	6722448	37588480
408163	1348709199832	poc	279166976	9563928	37588480
406504	1348709200078	poc	279166976	16385024	37588480
406504	1348709200324	poc	279166976	6715592	37588480
406504	1348709200572	poc	279166976	9564000	37588480
408163	1348709200817	poc	279166976	16385096	37588480
404858	1348709201064	poc	279166976	6715744	37588480
408163	1348709201312	poc	279166976	9563800	37588480
409836	1348709201556	poc	279166976	16384944	37588480
406504	1348709201802	poc	279166976	6715616	37588480
406504	1348709202051	poc	279166976	9565056	37588480
408163	1348709202296	poc	279166976	16386312	37588480
408163	1348709202541	poc	279166976	6717008	37588480
408163	1348709202789	poc	279166976	9564504	37588480
406504	1348709203035	poc	279166976	16385640	37588480
406504	1348709203281	poc	279166976	6716240	37588480
408163	1348709203529	poc	279166976	9563840	37588480
406504	1348709203776	poc	279171072	16384936	37588480
400000	1348709204026	poc	279171072	6715544	37588480
395257	1348709204280	poc	288198656	13528288	37588480
392157	1348709204535	poc	288198656	3846992	37588480
409836	1348709204779	poc	288202752	10628176	37588480
401606	1348709205031	poc	288202752	9570888	37588480
409836	1348709205275	poc	288247808	16391984	37588480
406504	1348709205521	poc	288247808	6722608	37588480
406504	1348709205769	poc	288247808	9564408	37588480
406504	1348709206015	poc	288247808	16372936	37588480
408163	1348709206260	poc	288247808	6682616	37588480
406504	1348709206509	poc	288247808	9563680	37588480
409836	1348709206753	poc	288247808	16384936	37588480
404858	1348709207000	poc	288247808	6715504	37588480
404858	1348709207250	poc	288247808	9564384	37588480
408163	1348709207495	poc	288247808	16385496	37588480
406504	1348709207741	poc	288247808	6716216	37588480
403226	1348709207992	poc	288247808	9564960	37588480
406504	1348709208238	poc	288247808	16386064	37588480
401606	1348709208487	poc	288247808	6716728	37588480
406504	1348709208736	poc	288247808	9564040	37588480
401606	1348709208985	poc	288247808	16385184	37588480
404858	1348709209232	poc	288247808	6715792	37588480
406504	1348709209481	poc	288247808	9564120	37588480
408163	1348709209727	poc	288247808	16385248	37588480
398406	1348709209978	poc	288247808	6715976	37588480
406504	1348709210224	poc	288247808	13528720	37588480
389105	1348709210481	poc	288247808	3847168	37588480
406504	1348709210727	poc	288247808	10628376	37588480
403226	1348709210979	poc	288247808	9570328	37588480
406504	1348709211225	poc	288247808	16391608	37588480
403226	1348709211473	poc	288247808	6722176	37588480
406504	1348709211721	poc	288247808	9564904	37588480
