hz	time	lib	rss	heapUsed	heapTotal
217865	1348709120620	mysql2	276115456	14798688	37588480
216450	1348709121082	mysql2	276115456	10196344	37588480
217865	1348709121541	mysql2	276115456	5584424	37588480
215983	1348709122007	mysql2	276115456	14799400	37588480
216450	1348709122469	mysql2	276115456	10196936	37588480
215517	1348709122933	mysql2	276115456	5585064	37588480
216920	1348709123394	mysql2	276115456	17466336	37588480
215517	1348709123858	mysql2	276152320	12845768	37588480
215517	1348709124322	mysql2	276152320	8235424	37588480
216920	1348709124786	mysql2	276152320	14803904	37588480
216920	1348709125247	mysql2	276152320	10201400	37588480
216920	1348709125708	mysql2	276152320	5589464	37588480
217391	1348709126170	mysql2	276152320	14798600	37588480
217391	1348709126630	mysql2	276152320	10196096	37588480
216450	1348709127092	mysql2	276152320	5584152	37588480
217865	1348709127553	mysql2	276152320	14799080	37588480
216450	1348709128015	mysql2	276152320	10196632	37588480
217865	1348709128474	mysql2	276152320	5584736	37588480
216920	1348709128937	mysql2	276152320	14799104	37588480
217391	1348709129397	mysql2	276152320	10196784	37588480
216450	1348709129859	mysql2	276152320	5584832	37588480
217865	1348709130320	mysql2	276152320	14799432	37588480
216920	1348709130782	mysql2	276152320	10196968	37588480
216920	1348709131243	mysql2	276152320	5585008	37588480
216920	1348709131707	mysql2	276152320	14799016	37588480
215983	1348709132170	mysql2	276152320	10196560	37588480
211416	1348709132644	mysql2	276156416	5613848	37588480
212766	1348709133117	mysql2	276156416	14819928	37588480
211864	1348709133589	mysql2	276156416	10217664	37588480
212314	1348709134060	mysql2	276156416	5605712	37588480
213675	1348709134528	mysql2	276160512	17486976	37588480
212766	1348709134998	mysql2	276160512	12866448	37588480
213220	1348709135468	mysql2	276164608	8261920	37588480
212314	1348709135942	mysql2	276164608	14830232	37588480
216920	1348709136403	mysql2	278401024	10227856	37588480
216920	1348709136864	mysql2	278446080	5615960	37588480
217865	1348709137326	mysql2	278446080	14826272	37588480
216920	1348709137787	mysql2	278446080	10224008	37588480
216920	1348709138248	mysql2	278446080	5612168	37588480
217865	1348709138710	mysql2	278446080	14826040	37588480
216920	1348709139171	mysql2	278446080	10223576	37588480
216920	1348709139632	mysql2	278446080	5611672	37588480
216450	1348709140096	mysql2	278446080	14825376	37588480
217391	1348709140556	mysql2	278446080	10223000	37588480
216920	1348709141017	mysql2	278446080	5611192	37588480
216450	1348709141482	mysql2	278446080	14826528	37588480
215517	1348709141946	mysql2	278446080	10224088	37588480
215983	1348709142409	mysql2	278446080	5612184	37588480
216920	1348709142872	mysql2	278446080	14825432	37588480
217865	1348709143332	mysql2	278446080	10223040	37588480
214133	1348709143799	mysql2	278781952	5611080	37588480
215517	1348709144266	mysql2	278982656	14825656	37588480
216920	1348709144727	mysql2	278982656	10223320	37588480
216920	1348709145188	mysql2	278982656	5611368	37588480
218341	1348709145646	mysql2	278982656	17479824	37588480
217391	1348709146106	mysql2	278982656	12872368	37588480
218341	1348709146565	mysql2	278982656	8262056	37588480
215054	1348709147033	mysql2	278982656	14830640	37588480
216920	1348709147494	mysql2	278982656	10228120	37588480
214133	1348709147961	mysql2	278982656	5616176	37588480
215517	1348709148428	mysql2	278982656	14825480	37588480
215983	1348709148891	mysql2	278982656	10223080	37588480
214133	1348709149358	mysql2	278982656	5611208	37588480
217391	1348709149821	mysql2	278982656	14826136	37588480
216450	1348709150283	mysql2	278982656	10223664	37588480
216450	1348709150745	mysql2	278982656	5611808	37588480
215983	1348709151210	mysql2	278982656	14825864	37588480
216920	1348709151671	mysql2	278982656	10223384	37588480
215517	1348709152135	mysql2	278982656	5611424	37588480
216920	1348709152598	mysql2	278982656	14825720	37588480
215983	1348709153061	mysql2	278982656	10223352	37588480
216450	1348709153523	mysql2	278982656	5611432	37588480
216920	1348709153987	mysql2	278982656	14826104	37588480
216920	1348709154448	mysql2	278982656	10223752	37588480
217391	1348709154908	mysql2	278982656	5611784	37588480
218341	1348709155370	mysql2	278982656	14825592	37588480
217391	1348709155830	mysql2	278982656	10223096	37588480
215983	1348709156293	mysql2	278982656	5611192	37588480
218341	1348709156751	mysql2	278982656	17492512	37588480
215983	1348709157214	mysql2	278982656	12871920	37588480
217865	1348709157673	mysql2	278982656	8261544	37588480
216450	1348709158138	mysql2	278982656	14830856	37588480
217391	1348709158598	mysql2	278982656	10228488	37588480
216920	1348709159059	mysql2	278982656	5616624	37588480
217391	1348709159521	mysql2	278982656	14826080	37588480
216920	1348709159982	mysql2	278982656	10223560	37588480
217865	1348709160442	mysql2	278982656	5611664	37588480
215054	1348709160909	mysql2	278982656	14825624	37588480
215517	1348709161373	mysql2	278982656	10223096	37588480
215517	1348709161837	mysql2	278982656	5611184	37588480
215983	1348709162302	mysql2	278982656	14824992	37588480
216450	1348709162764	mysql2	278982656	10222864	37588480
216450	1348709163226	mysql2	278982656	5610920	37588480
217865	1348709163688	mysql2	278982656	14826856	37588480
